dates UTC, chainage (m)
2005-04-21 23:29:39+00:00,218.5
2005-05-15 23:32:08+00:00,202.6
2005-05-23 23:29:53+00:00,229.7
2005-05-31 23:32:04+00:00,217.7
2005-06-08 23:30:02+00:00,229.2
2005-06-09 23:26:13+00:00,225.6
2005-06-16 23:31:57+00:00,221.2
2005-06-24 23:30:07+00:00,231.5
2005-07-10 23:30:12+00:00,214.9
2005-07-26 23:30:23+00:00,229.7
2005-08-19 23:31:49+00:00,229.9
2005-09-12 23:30:39+00:00,242.1
2005-10-22 23:31:45+00:00,237.7
2005-11-15 23:30:55+00:00,215.0
2005-12-02 23:25:56+00:00,232.0
2005-12-09 23:32:08+00:00,235.2
2005-12-25 23:32:12+00:00,246.2
2006-02-19 23:33:09+00:00,231.4
2006-03-07 23:33:29+00:00,208.3
2006-03-15 23:32:37+00:00,226.1
2006-03-31 23:32:35+00:00,227.2
2006-04-08 23:34:05+00:00,197.1
2006-04-25 23:26:22+00:00,200.8
2006-05-02 23:32:34+00:00,211.6
2006-05-10 23:34:35+00:00,222.1
2006-05-27 23:26:48+00:00,216.2
2006-06-03 23:32:33+00:00,221.8
2006-06-11 23:35:03+00:00,204.4
2006-07-05 23:32:23+00:00,233.4
2006-07-29 23:35:44+00:00,231.5
2006-08-15 23:26:24+00:00,234.3
2006-08-22 23:32:10+00:00,226.9
2006-09-07 23:32:06+00:00,211.2
2006-09-15 23:36:20+00:00,242.1
2006-10-01 23:36:31+00:00,243.3
2006-10-02 23:26:08+00:00,236.3
2006-10-18 23:26:16+00:00,239.5
2006-11-18 23:36:58+00:00,230.5
2006-11-19 23:26:19+00:00,227.0
2006-11-26 23:32:34+00:00,227.4
2006-12-04 23:37:06+00:00,228.1
2007-01-21 23:37:26+00:00,231.6
2007-02-06 23:37:29+00:00,224.6
2007-02-14 23:32:56+00:00,210.5
2007-02-22 23:37:29+00:00,226.6
2007-03-02 23:33:01+00:00,228.4
2007-03-10 23:37:27+00:00,227.8
2007-03-11 23:26:51+00:00,231.0
2007-03-18 23:33:03+00:00,234.4
2007-04-11 23:37:20+00:00,219.3
2007-04-19 23:33:01+00:00,218.2
2007-05-05 23:32:56+00:00,238.1
2007-06-15 23:27:00+00:00,232.3
2007-06-30 23:36:16+00:00,224.8
2007-07-08 23:32:44+00:00,240.4
2007-07-16 23:36:09+00:00,236.8
2007-07-24 23:32:40+00:00,234.1
2007-08-02 23:26:51+00:00,233.5
2007-09-02 23:35:42+00:00,231.5
2007-09-18 23:35:35+00:00,225.6
2007-09-19 23:26:08+00:00,237.1
2007-10-04 23:35:25+00:00,236.0
2007-10-21 23:26:36+00:00,231.4
2007-12-08 23:26:37+00:00,220.6
2008-02-01 23:32:50+00:00,201.9
2008-02-09 23:33:11+00:00,200.7
2008-03-04 23:32:41+00:00,200.4
2008-03-12 23:32:35+00:00,199.7
2008-03-29 23:26:53+00:00,211.1
2008-04-05 23:32:39+00:00,194.4
2008-04-30 23:26:24+00:00,195.2
2008-05-07 23:32:33+00:00,201.0
2008-05-16 23:26:43+00:00,210.0
2008-05-23 23:32:27+00:00,198.2
2008-06-24 23:32:09+00:00,184.9
2008-08-11 23:31:42+00:00,226.5
2008-09-20 23:27:23+00:00,247.0
2008-09-21 23:25:11+00:00,250.4
2008-09-28 23:31:17+00:00,247.9
2008-10-06 23:26:53+00:00,238.7
2008-10-14 23:31:11+00:00,244.4
2008-10-22 23:26:20+00:00,239.4
2008-11-23 23:26:05+00:00,224.2
2008-12-09 23:26:35+00:00,230.2
2009-01-10 23:27:28+00:00,223.6
2009-01-18 23:32:14+00:00,238.8
2009-02-27 23:28:42+00:00,229.8
2009-02-28 23:26:22+00:00,230.5
2009-03-07 23:32:37+00:00,208.7
2009-03-23 23:32:44+00:00,221.0
2009-04-16 23:29:44+00:00,201.0
2009-04-17 23:27:05+00:00,208.6
2009-05-10 23:32:57+00:00,183.4
2009-06-04 23:27:10+00:00,215.3
2009-06-11 23:32:57+00:00,179.3
2009-06-19 23:30:55+00:00,163.6
2009-07-21 23:31:28+00:00,195.8
2009-07-29 23:32:46+00:00,207.7
2009-08-06 23:31:42+00:00,202.0
2009-08-14 23:32:41+00:00,210.2
2009-08-30 23:32:41+00:00,204.7
2009-09-07 23:32:10+00:00,195.3
2009-09-15 23:32:40+00:00,205.1
2009-09-23 23:32:22+00:00,207.2
2009-09-24 23:26:52+00:00,211.2
2009-10-01 23:32:38+00:00,211.6
2009-11-02 23:32:57+00:00,217.3
2009-11-10 23:32:51+00:00,219.9
2009-11-11 23:26:54+00:00,226.1
2009-11-18 23:33:10+00:00,208.7
2009-11-26 23:32:57+00:00,221.1
2009-12-12 23:33:06+00:00,215.2
2010-01-13 23:33:18+00:00,217.1
2010-03-18 23:33:28+00:00,204.7
2010-03-26 23:34:42+00:00,205.0
2010-04-27 23:34:43+00:00,198.4
2010-05-05 23:33:19+00:00,193.0
2010-05-06 23:28:30+00:00,205.5
2010-05-13 23:34:38+00:00,198.9
2010-05-29 23:34:39+00:00,205.0
2010-07-16 23:34:44+00:00,224.7
2010-08-25 23:32:48+00:00,233.6
2010-09-10 23:32:44+00:00,218.2
2010-09-11 23:28:37+00:00,224.2
2010-09-26 23:32:38+00:00,220.3
2010-09-27 23:28:36+00:00,237.7
2010-10-28 23:32:20+00:00,219.3
2010-11-13 23:32:18+00:00,209.4
2011-01-16 23:32:27+00:00,177.7
2011-02-02 23:30:08+00:00,214.3
2011-02-17 23:32:29+00:00,186.4
2011-03-21 23:32:21+00:00,190.7
2011-03-22 23:29:53+00:00,185.5
2011-04-14 23:36:07+00:00,195.4
2011-04-22 23:32:11+00:00,194.8
2011-04-30 23:36:08+00:00,178.5
2011-05-16 23:36:04+00:00,192.0
2011-06-17 23:36:05+00:00,193.6
2011-07-03 23:36:02+00:00,193.7
2011-07-11 23:31:40+00:00,194.7
2011-08-12 23:31:22+00:00,203.6
2011-08-13 23:29:44+00:00,207.8
2011-08-28 23:31:14+00:00,205.3
2011-09-13 23:31:02+00:00,209.3
2011-09-14 23:30:00+00:00,215.3
2011-09-29 23:30:45+00:00,212.1
2011-10-15 23:30:32+00:00,210.1
2011-12-03 23:30:05+00:00,221.1
2011-12-10 23:36:17+00:00,204.7
2011-12-19 23:30:37+00:00,215.7
2012-01-11 23:36:33+00:00,204.1
2012-01-20 23:30:44+00:00,210.0
2012-03-08 23:30:48+00:00,203.2
2012-03-15 23:36:38+00:00,210.5
2012-03-31 23:36:37+00:00,204.5
2012-05-02 23:37:01+00:00,205.7
2012-05-11 23:31:01+00:00,210.3
2012-05-18 23:37:13+00:00,213.5
2012-05-27 23:30:51+00:00,192.1
2012-06-03 23:36:52+00:00,194.3
2012-06-19 23:36:58+00:00,184.7
2012-07-14 23:31:31+00:00,201.2
2012-07-30 23:31:40+00:00,172.1
2012-08-06 23:37:33+00:00,200.9
2012-08-22 23:37:43+00:00,201.1
2012-08-31 23:32:02+00:00,201.0
2012-09-16 23:32:11+00:00,202.2
2012-09-23 23:38:03+00:00,224.5
2012-10-09 23:38:09+00:00,204.1
2012-10-25 23:38:21+00:00,199.4
2012-11-19 23:32:43+00:00,212.8
2012-12-05 23:32:43+00:00,217.9
2013-01-06 23:32:30+00:00,207.8
2013-04-27 23:44:16+00:00,190.1
2013-05-05 23:38:24+00:00,181.8
2013-05-14 23:32:36+00:00,185.4
2013-05-22 23:38:46+00:00,201.2
2013-06-14 23:44:29+00:00,188.2
2013-06-15 23:31:59+00:00,196.1
2013-06-23 23:38:39+00:00,200.2
2013-07-16 23:44:29+00:00,203.3
2013-07-17 23:32:06+00:00,218.6
2013-08-01 23:44:31+00:00,193.1
2013-08-02 23:31:59+00:00,196.1
2013-08-09 23:37:43+00:00,201.6
2013-08-10 23:38:21+00:00,216.9
2013-08-17 23:44:32+00:00,223.5
2013-08-25 23:37:55+00:00,220.6
2013-08-26 23:38:47+00:00,217.2
2013-09-02 23:44:33+00:00,216.1
2013-09-10 23:38:07+00:00,221.6
2013-09-18 23:44:28+00:00,215.2
2013-09-26 23:38:16+00:00,229.9
2013-10-13 23:38:12+00:00,223.4
2013-10-21 23:32:23+00:00,216.5
2013-11-06 23:32:29+00:00,201.8
2013-11-13 23:38:42+00:00,211.0
2013-11-14 23:38:02+00:00,211.0
